ReferanceID,NumberID,RecordType,SendDate,FirstName,SurName,FirstNameEN,SurNameEN,Phone,Mail,DepartureDate,ArrivalDate,PassportNumeber,Note
1234567890123456,123456789,1,20250101_12:30:45,ישראל,כהן,Israel,Cohen,0501234567,israel.cohen@example.com,20250110,20250120,A1234567,הערה 1
1000000000000002,100000002,3,20250102_002:00:00,שם2,משפחה2,Name2,Surname2,0521000002,user2@example.com,20250112,20250122,P2NUM,test note 2
1000000000000003,100000003,4,20250103_003:00:00,שם3,משפחה3,Name3,Surname3,0521000003,user3@example.com,20250113,20250123,P3NUM,test note 3
1000000000000004,100000004,1,20250104_004:00:00,שם4,משפחה4,Name4,Surname4,0521000004,user4@example.com,20250114,20250124,P4NUM,test note 4
1000000000000005,100000005,2,20250105_005:00:00,שם5,משפחה5,Name5,Surname5,0521000005,user5@example.com,20250115,20250125,P5NUM,test note 5
1000000000000006,100000006,3,20250106_006:00:00,שם6,משפחה6,Name6,Surname6,0521000006,user6@example.com,20250116,20250126,P6NUM,test note 6
1000000000000007,100000007,4,20250107_007:00:00,שם7,משפחה7,Name7,Surname7,0521000007,user7@example.com,20250117,20250127,P7NUM,test note 7
1000000000000008,100000008,1,20250108_008:00:00,שם8,משפחה8,Name8,Surname8,0521000008,user8@example.com,20250118,20250128,P8NUM,test note 8
1000000000000009,100000009,2,20250109_009:00:00,שם9,משפחה9,Name9,Surname9,0521000009,user9@example.com,20250119,20250129,P9NUM,test note 9
1000000000000010,100000010,3,20250110_010:00:00,שם10,משפחה10,Name10,Surname10,0521000010,user10@example.com,20250120,20250130,P10NUM,test note 10
